Lat,Lon,Title,Continent,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
12.649319,-8.000337,Bamako,Africa,Mali,277.4,253,268.1,230.4,242.6,233.6,216.6,218.3,221.7,253.7,270.7,268.9,2954.1
36.7753606,3.0601882,Algiers,Africa,Algeria,149,165,202,258,319,318,350,319,237,229,165,136,2847
24.3753438,4.3208436,Tamanrasset,Africa,Algeria,297.6,275.5,322.4,327,328.6,306,356.5,331.7,288,310,285,272.8,3686
33.8439408,9.400138,Tunis,Africa,Tunisia,145.7,165.3,198.4,225,282.1,309,356.5,328.6,258,217,174,148.8,2808.4
33.8833922,10.0971389,Gabes,Africa,Tunisia,220.1,215.6,251.1,267,313.1,321,372,353.4,279,260.4,228,210.8,3291.5
34.022405,-6.834543,Rabat,Africa,Morocco,179.8,183.6,232.5,255,291.4,288,316.2,306.9,261,235.6,189,179.8,2918.8
31.6258257,-7.9891608,Marrakech,Africa,Morocco,220.1,211.8,248,255,288.3,315,334.8,316.2,264,244.9,213,220.1,3131.2
30.920193,-6.910923,Ouarzazate,Africa,Morocco,251.8,244.9,297.2,315.2,332.7,335,317.7,293.2,266.4,271.3,242.9,248.1,3416.4
30.048819,31.243666,Cairo,Africa,Egypt,229.4,234.9,279,306,331.7,363,372,356.5,318,294.5,246,210.8,3541.8
31.199004,29.894378,Alexandria,Africa,Egypt,217,226.2,279,318,337.9,357,372,368.9,333,306.9,246,207.7,3579.5
29.8500001,31.333333,Helwan,Africa,Egypt,235.6,246.5,291.4,318,353.4,384,390.6,375.1,333,303.8,258,235.6,3725
32.896672,13.1777923,Tripoli,Africa,Libya,206,214,237,250,315,312,376,352,271,244,212,198,3187
32.1288331,20.0817204,Benghazi,Africa,Libya,179.8,192,232.5,252,319.3,327,381.3,365.8,288,251.1,213,167.4,3169.2
-4.05052,39.667169,Mombasa,Africa,Kenya,269.7,257.1,269.7,225,204.6,207,210.8,244.9,246,272.8,264,260.4,2932
-1.2832533,36.8172449,Nairobi,Africa,Kenya,288.3,266,266.6,204,189.1,159,130.2,127.1,180,226.3,198,257.3,2491.9
-0.523603,40.3563869,Garissa,Africa,Kenya,251.1,235.2,263.5,273,282.1,255,254.2,257.3,270,279,252,241.8,3114.2
3.1166086,35.6000028,Lodwar,Africa,Kenya,319,280,282,279,307,297,279,310,321,316,282,310,3582
-8.8272699,13.2439512,Luanda,Africa,Angola,219,208,213,199,233,223,175,150,145,164,199,212,2341
4.8472017,31.5951655,Juba,Africa,South Sudan,288.3,237.8,220.1,195,241.8,225,182.9,213.9,225,235.6,237,251.1,2753.5
7.6999269,27.9910035,Wau,Africa,South Sudan,300.7,269.7,260.4,228,254.2,237,176.7,192.2,210,229.4,267,303.8,2929.1
-6.8160837,39.2803583,Dar-es-Salaam,Africa,Tanzania,251,241,217,156,192,231,251,242,243,254,270,287,2815
-6.0999443,39.3209443,Zanzibar,Africa,Tanzania,251,243,213,180,210,220,235,253,254,270,250,259,2838
-5.1913822,32.5080629,Tabora,Africa,Tanzania,216,218,219,227,283,303,310,297,312,301,240,217,3143
-6.3372817,35.7371771,Dodoma,Africa,Tanzania,241.8,217.5,241.8,240,279,294,341,297.6,300,310,303,269.7,3335.4
13.4966096,39.4767857,Mekelle,Africa,Ethiopia,294.2,276.7,279.9,277.2,303.2,230.1,165.5,166.5,248.7,291.1,292.8,303.5,3129.4
9.0107934,38.7612525,Addis Abeba,Africa,Ethiopia,269.7,246.5,248,213,217,156,68.2,83.7,138,266.6,267,266.6,2440.3
49.0807647,-0.6562745,Brazaville,Africa,Congo,168,152,194,185,188,153,127,149,145,150,157,147,1915
-4.7485355,11.8523109,Pointe-Noire,Africa,Congo,157,156,164,160,150,132,119,106,70,93,123,144,1574
-4.2005398,12.6791573,Dolisie,Africa,Congo,153,164,159,152,151,136,119,105,91,116,128,133,1607
-4.3217055,15.3125974,Kinshasa,Africa,Democratic Republic of the Congo,124,140,155,150,155,120,124,155,120,155,150,124,1672
-11.6642316,27.4826264,Lubumbashi,Africa,Democratic Republic of the Congo,129,120,174,234,291,295,315,318,294,282,194,132,2778
20.9131304,-17.0501015,Nouadhibou,Africa,Mauritania,271,248,300,295,315,303,275,281,261,260,257,264,3332
18.0792379,-15.9780071,Nouakchott,Africa,Mauritania,267,250,302,311,320,284,271,265,266,263,268,267,3333
-25.7459374,28.1879444,Pretoria,Africa,South Africa,261,235,254,246.6,283,271,289,296,284,275,254,272,3220
-33.928992,18.417396,Cape Town,Africa,South Africa,337.9,297.4,292.9,233.5,205.3,175.4,193.1,212.1,224.7,277.7,309.8,334.2,3094
-26.205,28.049722,Johannesburg,Africa,South Africa,250.1,224.8,238.8,236.9,276,266.9,283.9,284.1,280.8,269.5,248.7,263.9,3124.4
-29.116395,26.215496,Bloemfontein,Africa,South Africa,296.3,247.9,258.6,250.2,266,249.9,272.6,285.9,278,290.9,296.5,319.5,3312.3
-28.456325,21.241867,Upington,Africa,South Africa,352.9,298.7,297.5,283.5,290.5,270.3,289.8,307.3,300.2,328.9,345.2,367,3731.8
-29.861825,31.009909,Durban,Africa,South Africa,184,178.8,201.6,206.4,223.6,224.9,230.4,217,173.3,169.4,166.1,189.9,2365.4
44.4284702,14.9217711,Maun,Africa,Botswana,245,207,257,282,310,300,313,332,315,291,264,214,3330
-24.6581357,25.9088474,Gaborone,Africa,Botswana,280.6,261.5,264.4,260.5,284.2,260,292.4,313.6,308.4,295.4,265.5,285.2,3371
-21.6989682,21.6452408,Ghanzi,Africa,Botswana,295,280,313,282,316,306,316,319,305,279,300,267,3579
-12.9693056,28.6365894,Ndola,Africa,Zambia,151.9,142.8,192.2,243,279,276,297.6,297.6,279,269.7,207,158.1,2793.9
-15.4164488,28.2821535,Lusaka,Africa,Zambia,176.7,168,220.1,246,275.9,270,294.5,303.8,291,272.8,234,182.9,2935.7
-17.853135,25.861429,Livingstone,Africa,Zambia,213.9,196,251.1,273,303.8,288,310,319.3,297,279,228,207.7,3166.8
-17.831773,31.045686,Harare,Africa,Zimbabwe,217,190.4,232.5,249,269.7,264,279,300.7,294,285.2,231,198.4,3010.9
-20.1560599,28.5887063,Bulawayo,Africa,Zimbabwe,244.9,212.8,251.1,252,279,267,288.3,300.7,288,272.8,237,226.3,3119.9
-10.0847469,33.8661918,Karonga,Africa,Malawi,176.7,170.8,207.7,222,254.2,264,285.2,306.9,306,319.3,273,213.9,2999.7
-15.7862543,35.0035694,Blantyre,Africa,Malawi,198.4,182,217,237,260.4,237,232.3,260.4,270,275.9,228,198.4,2797
-11.4607518,34.0226422,Mzuzu,Africa,Malawi,145.7,142.1,164.3,171,217,219,238.5,275.9,288,300.7,252,176.7,2590.9
-21.456444,47.085149,Fianarantsoa,Africa,Madagascar,191.1,171,175.4,184.8,186,165.9,163.5,191.1,220.5,230.4,208,190.1,2277.8
-18.1553985,49.4098352,Toamasina,Africa,Madagascar,224.7,198.2,191,196.9,192.1,162.5,162.8,184.6,209.7,232.7,236,219.2,2410.4
-18.9100122,47.5255809,Antananarivo,Africa,Madagascar,210.5,178,199.1,220.5,228.8,206.1,213.9,235,249.5,251,232.7,201.1,2626.2
-12.2779134,49.2913394,Antsiranana,Africa,Madagascar,189.2,170,214.9,256.4,284.8,256.5,273.1,283.6,293.3,306.8,281.5,228.9,3039
-15.7181492,46.3172577,Mahajanga,Africa,Madagascar,209,184.9,244.8,269.9,294.9,282.9,291.5,303.1,307,319.7,288.2,227.3,3223.2
-23.354173,43.66966,Toliara,Africa,Madagascar,305,285,296,302,306,277,291,298,307,324,313,306,3610
-25.966213,32.56745,Maputo,Africa,Mozambique,248,226,248,240,248,240,248,248,248,217,210,217,2838
4.3907153,18.5509126,Bangui,Africa,Central African Republic,217,196,186,180,186,180,124,124,150,155,180,217,2095
10.2961965,22.7809907,Birao,Africa,Central African Republic,289.6,275,270.6,248.1,255.7,216.9,190.7,186.5,210,267.2,290.3,297.4,2998
0.3177137,32.5813539,Kampala,Africa,Uganda,238,193,189,195,187,189,139,168,157,172,178,205,2210
0.3177137,32.5813539,Kampala,Africa,Uganda,238,193,189,195,187,189,139,168,157,172,178,205,2210
0.0611715,32.4698564,Entebbe,Africa,Uganda,233,204,205,180,192,186,198,195,195,201,198,211,2398
-3.3638125,29.3675028,Bujumbura,Africa,Burundi,167.4,158.2,176.7,165,210.8,255,272.8,251.1,213,189.1,150,164.3,2373.4
9.5170602,-13.6998434,Conakry,Africa,Guinea,223,224,251,222,208,153,109,87,135,189,207,214,2222
10.6248355,-9.3175166,Kankan,Africa,Guinea,262,236,249,220,234,216,169,159,191,221,241,260,2658
11.861324,-15.583055,Bissau,Africa,Guinea-Bissau,248,226,279,270,248,210,186,155,180,217,240,248,2707
1.8650897,9.768665,Bata,Africa,Equatorial Guinea,201.5,192.1,173.6,177,189.1,147,142.6,142.6,114,114.7,141,186,1921.2
3.752828,8.780061,Malabo,Africa,Equatorial Guinea,148.8,152.5,108.5,120,117.8,69,46.5,58.9,48,68.2,99,139.5,1176.7
25.069992,34.893817,Marsa Alam,Africa,Egypt,279,283,310,330,372,390,403,372,330,310,300,279,3958
25.4522583,30.5416007,Kharga,Africa,Egypt,287.8,274.4,297.8,307.2,336.8,361.6,359.9,364.9,321.1,313,289.7,276.6,3790.8
25.5120622,29.2581601,Dakhla Oasis,Africa,Egypt,294.5,279.7,316.2,315,356.5,366,384.4,375.1,336,328.6,300,291.4,3943.4
-26.5723369,18.1452757,Keetmanshoop,Africa,Namibia,353,300,312,306,304,287,305,323,319,343,348,348,3870
-22.5743922,17.0790688,Windhoek,Africa,Namibia,288,254,282,273,310,309,326,341,321,319,297,285,3605
34.5260131,69.1776476,Kabul,Asia,Afghanistan,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9,282.6,253.2,182.4,3175.1
40.3754434,49.8326748,Baku,Asia,Azerbaijan,89.9,89,124,195,257.3,294,313.1,282.1,222,145.7,93,102.3,2207.4
23.7593572,90.3788136,Dhaka,Asia,Bangladesh,279,226,217,180,155,90,62,62,90,186,240,279,2066
39.906217,116.3912757,Beijing,Asia,China,194.1,194.7,231.8,251.9,283.4,261.4,212.4,220.9,232.1,222.1,185.3,180.7,2670.8
29.5585712,106.5492822,Chongqing,Asia,China,20.6,29.7,64.9,93.6,109.4,97.7,158.6,167,106.6,50.4,35.9,20.4,954.8
29.6553895,91.1704736,Lhasa,Asia,China,250.9,226.7,246.1,248.9,276.6,257.3,227.4,219.6,229,281.7,267.4,258.6,2990.2
31.2252985,121.4890497,Shanghai,Asia,China,114.3,119.9,128.5,148.5,169.8,130.9,190.8,185.7,167.5,161.4,131.1,127.4,1775.8
43.419754,87.319461,Ürümqi,Asia,China,101.6,128.8,180.5,248,283.3,282.7,298.7,301,262.6,224.4,127.4,84.3,2523.3
22.2793278,114.1628131,Hong Kong,Asia,Hong Kong,143,94.2,90.8,101.7,140.4,146.1,212,188.9,172.3,193.9,180.1,172.2,1835.6
28.6517178,77.2219388,Delhi,Asia,India,214.6,216.1,239.1,261,263.1,196.5,165.9,177,219,269.3,247.2,215.8,2684.6
22.5677459,88.3476023,Kolkata,Asia,India,203.9,201.2,225.8,235.4,227.1,123.1,93.1,104.9,116.2,182.6,190.8,203.4,2107.5
18.9387711,72.8353355,Mumbai,Asia,India,269.5,257.6,274.3,283.7,296.2,148.6,73.4,75.9,165.1,240.2,245.8,253.2,2583.5
12.9791198,77.5912997,Bangalore,Asia,India,262,248,271,257,241,137,112,114,144,173,190,212,2361
-6.1753942,106.827183,Jakarta,Asia,Indonesia,189.1,180.8,238.7,255,260.4,255,282.1,294.5,300.7,279,231,217,2983.3
35.7006177,51.4013785,Tehran,Asia,Iran,137.2,151.1,186,219.1,279.8,328.7,336.6,336.8,300.5,246.8,169.4,134.1,2826.1
33.3024309,44.3787992,Baghdad,Asia,Iraq,192.2,203.3,244.9,255,300.7,348,347.2,353.4,315,272.8,213,195.3,3240.8
32.0804808,34.7805274,Tel Aviv,Asia,Israel,192.2,200.1,235.6,270,328.6,357,368.9,356.5,300,279,234,189.1,3311
43.061936,141.3542924,Sapporo,Asia,Japan,92.5,104,146.6,176.5,198.4,187.8,164.9,171,160.5,152.3,100,85.9,1740.4
35.6828387,139.7594549,Tokyo,Asia,Japan,184.5,165.8,163.1,176.9,167.8,125.4,146.4,169,120.9,131,147.9,178,1876.7
43.2363924,76.9457275,Almaty,Asia,Kazakhstan,118,119,147,194,241,280,306,294,245,184,127,101,2356
51.1282205,71.4306682,Astana,Asia,Kazakhstan,103,147,192,238,301,336,336,294,230,136,100,94,2507
22.1757605,113.5514142,Macau,Asia,Macau,127.4,79.4,71.5,85.3,136.4,155.3,223.2,195.4,176.5,192.3,172.2,159.1,1773.9
47.9184676,106.9177016,Ulaanbaatar,Asia,Mongolia,179.1,204.8,265.2,262.5,299.3,269,249.3,258.3,245.7,227.5,177.4,156.4,2791.5
39.0194741,125.753388,Pyongyang,Asia,North Korea,184,197,231,237,263,229,181,204,222,214,165,165,2492
23.5997857,58.5451305,Muscat,Asia,Oman,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267,3493.3
24.8667795,67.0311286,Karachi,Asia,Pakistan,270.7,249.4,271.6,277.4,299.1,231.8,155,147.7,218.8,283.5,273.3,272,2950.3
31.5656079,74.3141775,Lahore,Asia,Pakistan,218.8,215,245.8,276.6,308.3,269,227.5,234.9,265.6,290,259.6,222.9,3034
14.5906216,120.9799696,Manila,Asia,Philippines,176.7,197.8,225.8,258,222.7,162,132.8,132.8,132,157.6,153,151.9,2103.1
73.5083894,80.5123816,Dikson,Asia,Russia,0,22.6,127.1,237,189.1,141,223.2,139.5,60,24.8,0,0,1164.3
52.289597,104.280586,Irkutsk,Asia,Russia,93,149,207,223,266,264,243,218,182,152,93,62,2142
54.991375,73.371529,Omsk,Asia,Russia,68,125,184,235,284,319,321,248,180,105,71,61,2201
53.0199693,158.6472187,Petropavlovsk-Kamchatsky,Asia,Russia,105.4,115.8,176.7,192,192.2,192,170.5,176.7,177,158.1,123,93,1872.4
43.1150678,131.8855768,Vladivostok,Asia,Russia,178,184,216,192,199,130,122,149,197,205,168,156,2096
62.027287,129.732086,Yakutsk,Asia,Russia,18.6,98,232.5,273,303.8,333,347.2,272.8,174,105.4,60,9.3,2227.6
18.2164282,42.5043596,Abha,Asia,Saudi Arabia,266.6,265.6,294.5,282,288.3,276,232.5,238.7,273,291.4,273,266.6,3248.2
24.6319692,46.7150648,Riyadh,Asia,Saudi Arabia,212.4,226.6,219.8,242.3,287.7,328.2,332.1,309.2,271.6,311.4,269.2,214.3,3224.8
1.340863,103.8303918,Singapore,Asia,Singapore,172.4,183.2,192.7,173.6,179.8,177.7,187.9,180.6,156.2,155.2,129.6,133.5,2022.4
35.1799528,129.0752365,Busan,Asia,South Korea,199,182.5,193,210,221.7,179.7,165.8,200.9,167.2,208.9,194.4,204.3,2327.3
37.5649826,126.9392108,Seoul,Asia,South Korea,160.3,163.3,189,205,213,182,120,152.5,176.2,198.8,153.2,152.6,2066
22.6203348,120.3120375,Kaohsiung,Asia,Taiwan,174.7,165.8,187,189.1,198.5,199.9,221.4,193.7,175.7,182.4,162.2,161.8,2212.2
24.163162,120.6478282,Taichung,Asia,Taiwan,176.6,140.6,149.9,137.8,158.7,160.1,199.6,178.7,175.8,203.7,179.4,182.3,2043.2
25.0375198,121.5636796,Taipei,Asia,Taiwan,80.6,71.3,89.6,92.6,113.7,121.7,179,188.9,153.7,124,99.4,90.7,1405.2
13.7542529,100.493087,Bangkok,Asia,Thailand,272.5,249.9,269,256.7,216.4,178,171.8,160.3,154.9,198.1,234.2,262,2623.8
18.790876,98.988048,Chiang Mai,Asia,Thailand,272.8,257.1,294.5,279,198.4,156,120.9,117.8,144,201.5,216,254.2,2512.2
7.0027648,100.4575824,Hat Yai,Asia,Thailand,182.9,166.7,186,144,114.7,111,114.7,114.7,108,111.6,105,108.5,1567.8
15.2241917,101.9313754,Nakhon Ratchasima,Asia,Thailand,226.3,211.9,201.5,186,155,114,117.8,117.8,108,145.7,186,226.3,1996.3
39.9207774,32.854067,Ankara,Asia,Turkey,77.5,98.9,161.2,189,260.4,306,350.3,328.6,276,198.4,132,71.3,2449.6
25.0750095,55.1887609,Dubai,Asia,United Arab Emirates,254.2,229.6,254.2,294,344.1,342,322.4,316.2,309,303.8,285,254.2,3508.7
41.3123363,69.2787079,Tashkent,Asia,Uzbekistan,117.8,127.1,164.3,216,303.8,363,384.4,365.8,300,226.3,150,105.4,2823.9
11.9402416,108.4375758,Da Lat,Asia,Vietnam,255,234,255,202,190,147,157,136,133,140,172,215,2238
16.068,108.212,Da Nang,Asia,Vietnam,139,145,188,209,246,239,253,218,176,145,120,103,2182
21.0294498,105.8544441,Hanoi,Asia,Vietnam,74,47,47,90,183,172,195,174,176,167,137,124,1585
10.6497452,106.7619794,Ho Chi Minh City,Asia,Vietnam,245,246,272,239,195,171,180,172,162,182,200,226,2489
41.3268733,19.8187913,Tirana,Europe,Albania,124,125,165,191,263,298,354,327,264,218,127,88,2544
40.1776121,44.5125849,Yerevan,Europe,Armenia,93,108,162,177,242,297,343,332,278,212,138,92,2474
48.2083537,16.3725042,Vienna,Europe,Austria,66,106,128,183,239,228,260,251,168,139,66,51,1884
53.902334,27.5618791,Minsk,Europe,Belarus,34,72,133,185,270,267,271,251,154,103,39,28,1807
50.8436709,4.3674367,Brussels,Europe,Belgium,59,77,114,159,191,188,201,190,143,113,66,45,1546
43.8519774,18.3866868,Sarajevo,Europe,Bosnia and Herzegovina,57,84,126,152,192,207,256,238,187,149,81,41,1769
42.6978634,23.3221789,Sofia,Europe,Bulgaria,88,114,160,182,230,258,302,288,220,164,106,66,2177
45.813177,15.977048,Zagreb,Europe,Croatia,59,96,140,175,234,244,281,256,187,131,66,45,1913
50.0874654,14.4212535,Prague,Europe,Czech Republic,50,72,125,168,214,218,226,212,161,121,54,47,1668
35.1808915,33.3732586,Nicosia,Europe,Cyprus,182.9,200.1,238.7,267,331.7,369,387.5,365.8,312,275.9,213,170.5,3314.1
55.6867243,12.5700724,Copenhagen,Europe,Denmark,46,62,148,214,243,238,243,194,166,105,46,34,1739
59.4372155,24.7453688,Tallinn,Europe,Estonia,25,56,129,203,293,286,307,241,152,87,29,19,1826
62.012,-6.768,Tórshavn,Europe,Faroe Islands,14,36,71,106,124,125,111,98,80,49,20,6,840
60.1674098,24.9425769,Helsinki,Europe,Finland,38,70,138,194,284,297,291,238,150,93,36,29,1858
43.2961743,5.3699525,Marseille,Europe,France,150,156,215,245,293,326,366,327,254,205,156,143,2836
48.8566969,2.3514616,Paris,Europe,France,63,79,129,166,194,202,212,212,168,118,68,51,1662
41.6934591,44.8014495,Tbilisi,Europe,Georgia,99,102,142,171,213,249,256,248,206,164,103,93,2046
52.5170365,13.3888599,Berlin,Europe,Germany,47,74,121,159,220,222,217,211,156,112,51,37,1626
50.1106444,8.6820917,Frankfurt,Europe,Germany,50,80,121,178,211,219,233,219,156,103,51,41,1662
37.9839412,23.7283052,Athens,Europe,Greece,158,168,189,225,304,360,384,360,252,198,144,105,2848
35.0081272,25.7389817,Ierapetra,Europe,Greece,156,159,208,240,319,355,385,368,308,236,201,167,3102
47.4983815,19.0404707,Budapest,Europe,Hungary,62,93,137,177,234,250,271,255,187,141,69,52,1988
64.145981,-21.9422367,Reykjavik,Europe,Iceland,20,60,109,164,201,174,168,155,120,93,41,22,1326
53.3497645,-6.2602732,Dublin,Europe,Ireland,59,75,109,160,195,179,164,157,129,103,71,53,1453
45.4668,9.1905,Milan,Europe,Italy,59,96,152,177,211,243,285,251,186,130,66,59,1915
41.8933203,12.4829321,Rome,Europe,Italy,121,133,167,201,264,285,332,298,237,195,129,112,2473
56.9493977,24.1051846,Riga,Europe,Latvia,31,62,127,183,264,288,264,229,153,93,39,22,1754
54.6870458,25.2829111,Vilnius,Europe,Lithuania,36,71,117,164,241,231,219,217,140,94,33,25,1588
35.8989818,14.5136759,Valletta,Europe,Malta,169,178,227,254,310,337,377,352,270,224,195,161,3054
47.0244707,28.8322534,Chișinău,Europe,Moldova,75,80,125,187,254,283,299,295,226,169,75,58,2126
42.4415238,19.2621081,Podgorica,Europe,Montenegro,123,126,170,194,251,276,340,314,252,201,126,109,2481
52.3745403,4.8979755,Amsterdam,Europe,Netherlands,63,88,126,183,222,206,217,197,139,109,62,51,1662
41.9960924,21.4316495,Skopje,Europe,North Macedonia,87,113,161,198,245,276,323,305,248,188,115,80,2339
59.9133301,10.7389701,Oslo,Europe,Norway,40,76,126,178,220,250,246,216,144,86,51,35,1668
52.2319581,21.0067249,Warsaw,Europe,Poland,43,59,115,150,211,237,226,214,153,99,39,25,1571
38.7077507,-9.1365919,Lisbon,Europe,Portugal,143,157,208,234,291,303,353,344,261,214,156,143,2806
44.4361414,26.1027202,Bucharest,Europe,Romania,71,85,140,186,245,267,288,282,225,177,87,62,2115
55.7504461,37.6174943,Moscow,Europe,Russia,37,65,142,213,274,299,323,242,171,88,33,14,1901
43.5854823,39.723109,Sochi,Europe,Russia,96,107,146,162,220,258,279,282,225,195,120,87,2178
44.8178131,20.4568974,Belgrade,Europe,Serbia,72,102,153,188,242,261,291,274,204,163,97,65,2112
48.1516988,17.1093063,Bratislava,Europe,Slovakia,65,82,152,204,264,270,276,270,207,143,60,47,2038
46.0499803,14.5068602,Ljubljana,Europe,Slovenia,71,114,149,178,235,246,293,264,183,120,66,56,1974
41.3828939,2.1774322,Barcelona,Europe,Spain,158,171,206,239,258,287,293,264,229,196,153,137,2591
40.4167047,-3.7035825,Madrid,Europe,Spain,148,157,214,231,272,310,359,335,261,198,157,124,2769
37.3886303,-5.9953403,Seville,Europe,Spain,179,183,224,234,287,312,351,328,250,218,186,154,2906
57.7072326,11.9670171,Gothenburg,Europe,Sweden,48,75,151,201,274,286,285,245,178,108,47,29,1922
59.3251172,18.0710935,Stockholm,Europe,Sweden,40,72,135,185,276,292,260,221,154,99,54,33,1821
47.3723941,8.5423328,Zurich,Europe,Switzerland,48,77,125,159,186,204,230,208,151,93,50,35,1566
41.0096334,28.9651646,Istanbul,Europe,Turkey,71,88,133,180,251,300,322,295,243,164,102,68,2218
50.4500336,30.5241361,Kiev,Europe,Ukraine,31,57,124,180,279,270,310,248,210,155,60,31,1955
55.9533456,-3.1883749,Edinburgh,Europe,United Kingdom,54,79,115,145,188,166,172,162,129,101,71,46,1427
51.5073219,-0.1276474,London,Europe,United Kingdom,62,78,115,169,199,204,212,205,149,117,73,52,1633
51.0534234,-114.0625892,Calgary,North America,Canada,119.5,144.6,177.2,220.2,249.4,269.9,314.1,284,207,175.4,121.1,114,2396.3
